f{Const}{?}	f{Const}{?}
f{Const}{?}	k{Eq}{?}
f{Const}{?}	g{Const}{?}
f{Const}{?}	p{Const|Add}{?}
f{Const}{?}	r{Const|Add|Ne}{?}
f{Const}{?}	t{Const}{?}
k{Eq}{?}	f{Const}{?}
k{Eq}{?}	k{Eq}{?}
k{Eq}{?}	g{Const}{?}
k{Eq}{?}	p{Const|Add}{?}
k{Eq}{?}	r{Const|Add|Ne}{?}
k{Eq}{?}	s{Const}{?}
k{Eq}{?}	t{Const}{?}
g{Const}{?}	f{Const}{?}
g{Const}{?}	k{Eq}{?}
g{Const}{?}	g{Const}{?}
g{Const}{?}	p{Const|Add}{?}
g{Const}{?}	r{Const|Add|Ne}{?}
g{Const}{?}	s{Const}{?}
p{Const|Add}{?}	f{Const}{?}
p{Const|Add}{?}	k{Eq}{?}
p{Const|Add}{?}	g{Const}{?}
p{Const|Add}{?}	p{Const|Add}{?}
p{Const|Add}{?}	r{Const|Add|Ne}{?}
p{Const|Add}{?}	s{Const}{?}
p{Const|Add}{?}	t{Const}{?}
r{Const|Add|Ne}{?}	f{Const}{?}
r{Const|Add|Ne}{?}	k{Eq}{?}
r{Const|Add|Ne}{?}	g{Const}{?}
r{Const|Add|Ne}{?}	p{Const|Add}{?}
r{Const|Add|Ne}{?}	r{Const|Add|Ne}{?}
r{Const|Add|Ne}{?}	s{Const}{?}
r{Const|Add|Ne}{?}	t{Const}{?}
s{Const}{?}	k{Eq}{?}
s{Const}{?}	g{Const}{?}
s{Const}{?}	p{Const|Add}{?}
s{Const}{?}	r{Const|Add|Ne}{?}
s{Const}{?}	s{Const}{?}
s{Const}{?}	t{Const}{?}
t{Const}{?}	f{Const}{?}
t{Const}{?}	k{Eq}{?}
t{Const}{?}	p{Const|Add}{?}
t{Const}{?}	r{Const|Add|Ne}{?}
t{Const}{?}	s{Const}{?}
t{Const}{?}	t{Const}{?}
